,author,title,chapter_counter,scene_id,annotation,speaker,loudness,sound_event,verb_noun_lemmas
0,"Fontane, Theodor",Effi Briest,1,1,character_sound,Luise,4,als die von ihrer Stickerei gerade wieder aufblickende Mama ihr zurief,"Stickerei, aufblickend, Mama, zurufen"
1,"Fontane, Theodor",Effi Briest,1,1,character_sound,Luise,4,Da mußt Du nun selber lachen,"mußt, lachen"
2,"Fontane, Theodor",Effi Briest,1,1,character_sound,Luise,3,Diese that rasch ein paar Fragen,"thaen, Frage"
3,"Fontane, Theodor",Effi Briest,1,1,character_sound,Luise,3,und lud dann die Mädchen ein,"laden, Mädchen"
4,"Fontane, Theodor",Effi Briest,1,2,character_sound,Klitzing,3,weshalb denn auch Klitzing von den Husaren gesagt hatte,"Husar, sagen, haben"
5,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,3,sagte sie,sagen
6,"Fontane, Theodor",Effi Briest,1,2,character_sound,Hulda,3,sagte Hulda,sagen
7,"Fontane, Theodor",Effi Briest,1,2,character_sound,Luise,3,Wie sie Euch schon sagte,sagen
8,"Fontane, Theodor",Effi Briest,1,2,character_sound,Hulda,3,sagte Hulda,sagen
9,"Fontane, Theodor",Effi Briest,1,2,character_sound,Luise,3,und sagt immer,sagen
10,"Fontane, Theodor",Effi Briest,1,2,character_sound,Hertha,3,sagte Hertha,sagen
11,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,3,bestätigte Effi,bestätigen
12,"Fontane, Theodor",Effi Briest,1,2,character_sound,Ventivegni,3,Neulich erst hat mir der kleine Ventivegni von drüben gesagt,"haben, klein, Ventivegni, sagen"
13,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,3,sagt ich,sagen
14,"Fontane, Theodor",Effi Briest,1,2,character_sound,Ventivegni,3,und sagte,sagen
15,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,1,Du brichst immer wieder ab,brichen
16,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,1,ich breche immer wieder ab,brechen
17,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,3,Aber Du sagtest doch,sagen
18,"Fontane, Theodor",Effi Briest,1,2,character_sound,Frauen,4,Alle drei lachten,lachen
19,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,3,sagte Effi pikiert,"sagen, pikieren"
20,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,3,Innstetten sagtest Du,"Innstett, sagen"
21,"Fontane, Theodor",Effi Briest,1,2,character_sound,Hulda,3,sagte Hulda,sagen
22,"Fontane, Theodor",Effi Briest,1,2,character_sound,Hertha,3,unterbrach hierauf Hertha,"unterbrechen, Hertha"
23,"Fontane, Theodor",Effi Briest,1,2,character_sound,Effi,3,ich fange schon an,fangen
24,"Fontane, Theodor",Effi Briest,1,2,character_sound,Luise,3,und wenn die Mama davon erzählt,"Mama, erzählen"
25,"Fontane, Theodor",Effi Briest,1,2,character_sound,Bertha,3,sagte Bertha,sagen
26,"Fontane, Theodor",Effi Briest,1,2,character_sound,Innstetten,3,er nahm den Abschied,"nehmen, Abschied"
27,"Fontane, Theodor",Effi Briest,1,2,character_sound,Briest,3,wie Papa sagt,"Papa, sagen"
28,"Fontane, Theodor",Effi Briest,1,3,character_sound,Wilke,3,um an Fräulein Effi zu bestellen,"Fräulein, bestellen"
29,"Fontane, Theodor",Effi Briest,1,3,character_sound,Luise,3,Die gnädige Frau ließe bitten,"gnädig, Frau, lassen, bitten"
30,"Fontane, Theodor",Effi Briest,1,3,character_sound,Wilke,3,Und während Wilke dies noch vermeldete,"Wilke, vermelden"
31,"Fontane, Theodor",Effi Briest,1,3,character_sound,Wilke,3,Wilke schmunzelte,"Wilke, schmunzelen"
32,"Fontane, Theodor",Effi Briest,1,3,character_sound,Effi,3,"Effi aber, während sie die Tüte mitten auf die rasch zusammengeraffte Tischdecke legte, sagte","Tüte, zusammengerafft, Tischdecke, legen, sagen"
33,"Fontane, Theodor",Effi Briest,1,3,character_sound,Effi,3,das sagst Du wohl,sagen
34,"Fontane, Theodor",Effi Briest,1,3,character_sound,Effi,4,und während Effi diese Litanei feierlich anstimmte,"Litanei, anstimmen"
35,"Fontane, Theodor",Effi Briest,1,3,character_sound,Effi,3,sagte Effi,sagen
