author,title,chapter_counter,scene_id,annotation,speaker,loudness,sound_event,verb_noun_lemmas
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,4,hörte sie das Gepolter einiger niederknienden Tagelöhnerkinder,"hören, Gepolter, niederkniend, Tagelöhnerkinder"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,3,"Ueber sich hörte Agathe die sanfte, ernstfeierliche Stimme des Geistlichen die Frage an sie richten","ueber, hören, sanft, ernstfeierlich, Stimme, geistliche, Frage, richten"
"Reuter, Gabriele",Aus guter Familie,1.1,1,character_sound,Agathe,2,In süßer Schwermut hauchte sie »ja«,"süß, Schwermut, hauchen"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,2,Aber sie vernahm das Rauschen ihres eigenen seidenen Kleides,"vernehmen, Rauschen, eigen, seiden, Kleid"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,2,"ein gerührtes Flüstern und unterdrücktes Schluchzen drang aus dem Pfarrstuhl , wo ihre Eltern saßen, zu ihren Ohren","gerührt, Flüstern, unterdrückt, Schluchzen, drang, Pfarrstuhl, Eltern, sitzen, Ohr"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,4,sie hörte ein Gesangbuch irgendwo polternd zur Erde fallen,"hören, Gesangbuch, Erde, fallen"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,2,und eine gemurmelte Entschuldigung,"gemurmelt, Entschuldigung"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,3,"sie lauschte auf die falschen Töne, die der Küster bei seiner leisen Orgelbegleitung griff","lauschen, falsch, Ton, Küster, leise, Orgelbegleitung, greifen"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,4,Der Gesang der Gemeinde und das Spiel der Orgel schwollen stärker an,"Gesang, Gemeinde, Spiel, Orgel, schwollen"
"Reuter, Gabriele",Aus guter Familie,1.1,1,character_sound,Mädchen,2,In stumpfem Erstaunen hörte sie neben sich zwei ihrer Mitkonfirmandinnen leise flüstern,"stumpf, erstaunen, hören, Mitkonfirmandinn, flüstern"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,4,bei dem Gesange jenes alten mystischen Abendmahlsliedes,"Gesange, alt, mystisch, Abendmahlslied"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,2,Und dann weckte das schwarze Atlaskleid und der Spitzenumhang der Mutter leise geraunte Bewunderung,"wecken, schwarz, Atlaskleid, Spitzenumhang, Mutter, geraunt, Bewunderung"
"Reuter, Gabriele",Aus guter Familie,1.1,1,character_sound,Frau Heidling,2,dabei weinte sie,weinen
"Reuter, Gabriele",Aus guter Familie,1.1,1,character_sound,Frau Heidling,3,und seufzte von Zeit zu Zeit tief und schmerzlich,"seufzen, Zeit, Zeit"
"Reuter, Gabriele",Aus guter Familie,1.1,1,ambient_sound,ambient,4,Als die Gemeinde den letzten Vers sang,"Gemeinde, letzter, Ver, singen"
"Reuter, Gabriele",Aus guter Familie,1.1,2,character_sound,Frau Heidling,2,und murmelte mehrere Mal unter Thränen,"murmeln, Mal, Thrän"
"Reuter, Gabriele",Aus guter Familie,1.1,2,character_sound,Herr Heidling,3,Der Vater verlangte nach ihr,"Vater, verlangen"
"Reuter, Gabriele",Aus guter Familie,1.1,2,character_sound,mixed,3,"Onkel Gustav, Bruder Walter, Frau Pastor Kandler – alle wollten ihre Glückwünsche darbringen","Onkel, Bruder, Frau, Pastor, wollen, Glückwünsch, darbringen"
"Reuter, Gabriele",Aus guter Familie,1.1,2,character_sound,mixed,3,Ein jeder gab dabei noch an der Kirchthür dem Mädchen ein wenig Anleitung,"geben, Kirchthür, Mädchen, Anleitung"
"Reuter, Gabriele",Aus guter Familie,1.1,2,character_sound,mixed,3,"Sie hörte mit verklärtem Lächeln auf dem verweinten Gesichtchen alle die goldenen Worte der Liebe, der älteren Weisheit","hören, verklärt, lächeln, verweint, Gesichtchen, golden, Wort, Liebe, alt, Weisheit"
"Reuter, Gabriele",Aus guter Familie,1.1,3,character_sound,Agathe,2,murmelte Agathe demütig dem Abiturienten zu,"murmeln, Abiturient"
"Reuter, Gabriele",Aus guter Familie,1.1,3,character_sound,Walter,2,und brummte etwas Unverständliches,"brummen, unverständliches"
