lemma,Effi (Fontane),Innstetten (Fontane),Agathe (Reuter),Eugenie (Reuter)
sagen,117.0,53.0,21.0,18.0
lachen,21.0,9.0,12.0,2.0
sprechen,13.0,6.0,6.0,5.0
rufen,3.0,4.0,7.0,6.0
fragt,4.0,1.0,12.0,2.0
schweigen,11.0,2.0,5.0,0.0
fragen,8.0,2.0,6.0,2.0
antworten,3.0,3.0,10.0,1.0
erzählen,7.0,5.0,3.0,2.0
bitten,6.0,4.0,4.0,2.0
bitte,6.0,2.0,1.0,1.0
schreien,2.0,0.0,7.0,1.0
weinen,1.0,0.0,8.0,0.0
beginnen,1.0,1.0,5.0,2.0
flüstern,1.0,0.0,4.0,4.0
lacht,7.0,0.0,1.0,0.0
stimme,1.0,2.0,4.0,1.0
wort,3.0,1.0,3.0,0.0
seufzen,2.0,0.0,3.0,2.0
versprechen,1.0,2.0,4.0,0.0
